"variable","tipo_R","n_na_real","n_na_texto","n_blancos","n_con_espacios","n_presentes","n_no_numericos","n_notacion_cientifica","n_con_decimales","n_valores_unicos","minimo","maximo","ejemplo_no_numerico","ejemplo_cientifica"
"microEmpresa","character",0,15495,0,0,16682,0,0,0,2,0,1,"",""
"sizeFirm","character",0,15495,0,0,16682,0,0,0,5,1,5,"",""
"y_salary_m","character",0,22213,0,0,9964,0,3098,0,660,10000,3.4e+07,"","7e+05"
"y_salary_m_hu","character",0,22213,0,0,9964,0,0,8748,1390,48.6111106872559,291666.65625,"",""
"y_ingLab_m","character",0,22213,0,0,9964,0,1402,3778,3700,10000,60100000,"","7e+05"
"y_horasExtras_m","character",0,31282,0,0,895,0,212,0,91,0,2e+06,"","4e+05"
"y_especie_m","character",0,30850,0,0,1327,0,378,0,125,0,1e+06,"","3e+05"
"y_vivienda_m","character",0,32073,0,0,104,0,57,0,20,0,6e+06,"","8e+05"
"y_otros_m","character",0,32046,0,0,131,0,48,0,47,0,4500000,"","5e+05"
"y_auxilioAliment_m","character",0,31770,0,0,407,0,82,0,82,0,1428000,"","2e+05"
"y_auxilioTransp_m","character",0,26706,0,0,5471,0,56,0,117,0,3e+06,"","1e+05"
"y_subFamiliar_m","character",0,29876,0,0,2301,0,14,0,139,0,940000,"","2e+05"
"y_subEducativo_m","character",0,32139,0,0,38,0,13,0,26,0,2700000,"","2e+05"
"y_primas_m","character",0,32082,0,0,95,0,18,0,43,0,3500000,"","8e+05"
"y_bonificaciones_m","character",0,31811,0,0,366,0,131,0,78,0,47200000,"","5e+05"
"y_primaServicios_m","character",0,24970,0,0,7207,0,1990,0,400,0,5.6e+07,"","9e+05"
"y_primaNavidad_m","character",0,31572,0,0,605,0,136,0,98,0,36500000,"","8e+05"
"y_primaVacaciones_m","character",0,31598,0,0,579,0,141,0,78,0,7.7e+07,"","1e+06"
"y_viaticos_m","character",0,31778,0,0,399,0,177,0,89,0,1.3e+08,"","6e+05"
"y_accidentes_m","character",0,32142,0,0,35,0,6,0,19,0,3125000,"","7e+05"
"y_salarySec_m","character",0,31716,0,0,461,0,240,0,89,6000,1e+07,"","6e+05"
"y_ingLab_m_ha","character",0,22213,0,0,9964,0,0,9399,5049,48.6111106872559,350583.34375,"",""
"y_gananciaNeta_m","character",0,27273,0,0,4904,0,3080,5,237,84,7e+07,"","1e+06"
"y_gananciaNetaAgro_m","character",0,32177,0,0,0,0,0,0,0,NA,NA,"",""
"y_gananciaIndep_m","character",0,27273,0,0,4904,0,3080,5,237,84,7e+07,"","1e+06"
"y_gananciaIndep_m_hu","character",0,27273,0,0,4904,0,0,4092,698,0.47152778506279,340277.78125,"",""
"y_total_m","character",0,17309,0,0,14868,0,4482,3783,3772,84,7e+07,"","7e+05"
"y_total_m_ha","character",0,17309,0,0,14868,0,0,13512,5441,0.47152778506279,350583.34375,"",""
