id_persona,log_y,pred_loo,pred_cv5
4514434-2-1,13.710150042306449,13.738963224844053,13.775285951400116
4514434-4-1,14.01693188072616,13.739648849154149,13.738573218854034
4514435-1-1,13.304684934198283,13.865644814408533,13.809902248505692
4514435-1-2,13.304684934198283,13.557878336753172,13.605787002640469
4514435-1-3,13.511315561204944,13.974010466860536,14.02112292374645
4514436-1-1,13.815510557964274,14.282317485107363,14.24846523524841
4514438-1-3,14.962913010801817,14.780494656283782,14.680861849083842
4514438-1-1,13.969495545493894,14.268501705194215,14.271785772679943
4514438-1-2,14.077874822431763,13.44883147690691,13.504688052134943
4514439-1-2,13.017002861746503,12.978802422552613,13.044094043512464
4514439-1-1,13.592367006650065,13.980600758242282,13.752020649950323
4514440-1-1,13.592367006650065,13.916240097654075,13.918684535585198
4514442-1-1,14.15469812260056,14.182371113664027,14.225840702425037
4514444-1-1,12.765688433465597,13.026912724304728,12.977495082146403
4514446-1-2,14.914122846632385,13.992271270094847,14.065390372652757
4514446-1-1,15.201804919084164,13.983433415834426,13.958895022482436
4514447-1-1,14.038654109278484,13.973801359006057,14.006298695257332
4514448-1-3,13.618104195431933,13.785569474931522,13.726642118370552
4514449-1-5,14.99416555430592,14.439817936494261,14.431281821005928
4514450-1-3,14.041849000175002,13.845225685679768,13.8419302458137
4514450-1-4,14.139866834735423,13.772277482395104,13.790689298440176
4514450-1-5,13.122363377404328,12.988157450812198,12.896603692249384
4514450-1-8,13.592367006650065,13.191819419201275,13.171729460778897
4514450-1-7,13.80680622241146,14.006125080311255,13.989471995158386
4514451-1-3,12.611537753638338,13.19089356086727,13.391593141342126
4514452-1-1,15.892970950964408,14.43792146622525,14.414977999806808
4514452-1-2,13.787516543927836,14.31730768811561,14.296885158353211
4514453-1-2,16.300417207752275,16.321820532713534,16.27838078930011
4514453-1-3,14.73180128983843,14.259310631873788,14.291335898837628
4514454-1-3,14.802570329670734,14.726434181523686,14.712713646729886
4514454-1-2,14.914122846632385,14.08685250397995,14.225614426620574
4514454-1-1,14.914122846632385,14.783597959466615,14.626074253780901
4514454-1-4,14.299992232058012,14.324911732462251,14.327972662650717
4514455-1-2,13.304684934198283,13.036432385988979,13.012982527888708
4514456-1-3,14.077874822431763,14.488515864553799,14.439394166994779
4514456-1-2,13.017002861746503,13.089217844412843,13.113335010245596
4514456-1-1,13.710150042306449,13.450181682440844,13.494407261749087
4514457-1-2,14.253765488895429,14.769268430004411,14.69508903859583
4514458-1-1,13.304684934198283,13.820535748125176,13.81131741454038
4514459-1-1,15.031905882288768,14.414533429393762,14.454002591262288
4514460-1-1,12.89921982609012,13.094550289117,13.055846342721765
4514460-1-2,13.691484701388214,13.928976475315203,13.908514189676895
4514461-1-2,13.304684934198283,13.535227042519832,13.55709711206431
4514461-1-1,13.592367006650065,13.609601409777076,13.642854114574325
4514462-1-2,12.793859310432293,12.972031713553386,12.952064844830534
4514463-1-1,14.79157849387429,14.56276581780559,14.594089400606823
4514465-1-2,11.918390573078392,12.951900409866138,12.967680837898497
4514466-1-1,14.22097566607244,13.605487671861537,13.66622333458149
4514467-1-1,13.568330428821824,13.926680545487024,13.952280643997895
4514468-1-1,13.728499203701915,14.034911717834735,14.030220275504886
