modelo,sexo,edad,prediccion,IC_inf,IC_sup
S1,Mujeres,49.0,13.784392647866307,13.749565721824125,13.819219573908489
S1,Mujeres,50.0,13.75515252134537,13.71986977856236,13.790435264128378
S1,Mujeres,51.0,13.723427935465972,13.687426686552485,13.75942918437946
S1,Mujeres,52.0,13.689218890228117,13.652175652309792,13.726262128146443
S1,Mujeres,53.0,13.652525385631806,13.614062766033863,13.69098800522975
S1,Mujeres,54.0,13.613347421677034,13.573044753076283,13.653650090277784
S1,Mujeres,55.0,13.571684998363805,13.529091201929075,13.614278794798535
S1,Mujeres,56.0,13.527538115692114,13.482184834448985,13.572891396935242
S1,Mujeres,57.0,13.480906773661966,13.432320020759816,13.529493526564115
S1,Mujeres,58.0,13.43179097227336,13.379500206697147,13.484081737849573
S1,Mujeres,59.0,13.380190711526295,13.323735029217987,13.436646393834602
S1,Mujeres,60.0,13.326105991420771,13.265037708721046,13.387174274120497
S1,Mujeres,61.0,13.269536811956787,13.203423015456998,13.335650608456575
S1,Mujeres,62.0,13.210483173134344,13.138905863161511,13.282060483107177
S1,Mujeres,63.0,13.148945074953444,13.071500443134436,13.226389706772451
S1,Mujeres,64.0,13.084922517414084,13.001219762740064,13.168625272088104
S1,Mujeres,65.0,13.018415500516266,12.928075456972067,13.108755544060465
S1,Mujeres,66.0,12.94942402425999,12.852077768624023,13.046770279895958
S1,Mujeres,67.0,12.877948088645253,12.773235622953395,12.98266055433711
S1,Mujeres,68.0,12.80398769367206,12.691556748349722,12.916418638994397
S1,Mujeres,69.0,12.727542839340407,12.60704781337128,12.848037865309534
S1,Mujeres,70.0,12.648613525650294,12.519714563263886,12.777512488036702
S1,Mujeres,71.0,12.567199752601724,12.429561947187644,12.704837558015804
S1,Mujeres,72.0,12.483301520194694,12.33659423228098,12.630008808108407
S1,Mujeres,73.0,12.396918828429204,12.240815103504262,12.553022553354145
S1,Mujeres,74.0,12.308051677305258,12.142227749716042,12.473875604894474
S1,Mujeres,75.0,12.216700066822852,12.0408349371655,12.392565196480206
S5,Hombres,18.0,13.579838396369205,13.541714314431406,13.617962478307003
S5,Hombres,19.0,13.612720904057166,13.577970989613144,13.647470818501189
S5,Hombres,20.0,13.64455514851169,13.612937319622885,13.676172977400496
S5,Hombres,21.0,13.67534112973278,13.646597905761746,13.704084353703815
S5,Hombres,22.0,13.705078847720436,13.678934566787435,13.731223128653438
S5,Hombres,23.0,13.733768302474656,13.709926704883248,13.757609900066065
S5,Hombres,24.0,13.761409493995444,13.739552575144302,13.783266412846586
S5,Hombres,25.0,13.788002422282796,13.76779194260879,13.808212901956802
S5,Hombres,26.0,13.813547087336712,13.794630375665532,13.832463799007892
S5,Hombres,27.0,13.838043489157194,13.820064652172478,13.85602232614191
S5,Hombres,28.0,13.861491627744241,13.844107576259422,13.878875679229061
S5,Hombres,29.0,13.883891503097853,13.866789816052155,13.900993190143552
S5,Hombres,30.0,13.905243115218033,13.88815729014559,13.922328940290475
S5,Hombres,31.0,13.925546464104777,13.908264923720735,13.942828004488819
S5,Hombres,32.0,13.944801549758084,13.927169381614492,13.962433717901677
S5,Hombres,33.0,13.96300837217796,13.9449232590235,13.98109348533242
