variable,tipo,filas,no_nulos,porcentaje_no_nulos,valores_distintos,media,desv_est,minimo,p25,mediana,p75,maximo,moda
p7510s7a1,float64,32177,27289,84.8090250800261,253,185149.32643189564,3001939.338735303,0.0,0.0,0.0,0.0,220000000.0,0.0
pet,float64,32177,27289,84.8090250800261,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ina,float64,32177,8632,26.826615284209215,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
impa,float64,32177,16410,50.99916089131988,3710,1442437.6974710545,2231055.7136312854,0.0,600000.0,934556.5,1496544.33333333,50000000.0,0.0
isa,float64,32177,16650,51.74503527364266,90,19070.224744744744,218026.7839616195,0.0,0.0,0.0,0.0,10000000.0,0.0
ie,float64,32177,10628,33.02980389719365,183,31739.48268724125,142281.2710516424,0.0,0.0,0.0,0.0,6300000.0,0.0
imdi,float64,32177,425,1.3208192186965844,105,769656.4211764706,1253684.2295776915,0.0,200000.0,550000.0,850000.0,14000000.0,0.0
iof1,float64,32177,27289,84.8090250800261,64,6376.792578206115,294369.14648886997,0.0,0.0,0.0,0.0,33333333.3333333,0.0
iof2,float64,32177,27289,84.8090250800261,266,100949.83187364873,597535.3544124047,0.0,0.0,0.0,0.0,24000000.0,0.0
iof3h,float64,32177,27289,84.8090250800261,191,19599.16359461077,191226.19657641975,0.0,0.0,0.0,0.0,10000000.0,0.0
iof3i,float64,32177,27289,84.8090250800261,97,2089.2978520038605,18117.69408538649,0.0,0.0,0.0,0.0,600000.0,0.0
iof6,float64,32177,27289,84.8090250800261,138,63533.01671002968,405389.8198296994,0.0,0.0,0.0,0.0,20000000.0,0.0
cclasnr2,float64,32177,1459,4.534294682537216,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr3,float64,32177,66,0.20511545513876372,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr4,float64,32177,274,0.851539919818504,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr5,float64,32177,36,0.11188115734841657,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr6,float64,32177,253,0.7862759113652609,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr7,float64,32177,286,0.8888336389346427,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr8,float64,32177,333,1.0349007054728532,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cclasnr11,float64,32177,179,0.556297976815738,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
impaes,float64,32177,1483,4.608882120769494,549,1757617.2049898854,2527680.864512951,15000.0,700000.0,1000000.0,2000000.0,50000000.0,800000.0
isaes,float64,32177,66,0.20511545513876372,36,738106.0606060605,1294730.4457066061,6000.0,100000.0,250000.0,837500.0,8000000.0,300000.0
iees,float64,32177,276,0.8577555396711937,77,254023.91304347827,296760.63082542655,20000.0,120000.0,187000.0,300000.0,3000000.0,200000.0
imdies,float64,32177,36,0.11188115734841657,25,781186.5833333334,570730.4133378748,30000.0,382500.0,800000.0,1000000.0,2000000.0,1000000.0
iof1es,float64,32177,254,0.7893837212916058,71,523111.1929133858,1316055.9297582305,83.0,25000.0,97916.5,400000.0,8333333.0,83333.0
iof2es,float64,32177,287,0.8919414488609877,109,2185808.229965157,1922583.5181083346,706000.0,900000.0,1548010.0,2620000.0,13200000.0,781242.0
iof3hes,float64,32177,326,1.013146035988439,78,434357.38036809815,682794.2566866399,8333.0,100000.0,295833.5,500000.0,9600000.0,300000.0
iof3ies,float64,32177,32,0.09944991764303694,21,106916.65625,120033.83978523599,12500.0,48750.0,75000.0,92250.0,516667.0,75000.0
iof6es,float64,32177,179,0.556297976815738,48,895416.2011173185,1108500.579644922,50000.0,330000.0,500000.0,1000000.0,8000000.0,400000.0
ingtotob,float64,32177,27289,84.8090250800261,4676,1095928.6976651154,2177124.7636685553,0.0,0.0,742000.0,1209877.66666667,85833333.3333333,0.0
ingtotes,float64,32177,2680,8.328930602604345,785,1424997.4537313434,2363579.1801022845,83.0,300000.0,800000.0,1500000.0,50000000.0,1000000.0
ingtot,float64,32177,27289,84.8090250800261,5355,1235874.946190162,2300871.3377039167,0.0,0.0,813793.75,1350000.0,85833333.3333333,0.0
fex_c,float64,32177,32177,100.0,3536,253.72670955444354,64.26739623515978,106.612617426093,215.43150019595,242.396357552795,276.820780750405,808.241451693803,232.460305636127
depto,int64,32177,32177,100.0,1,11.0,0.0,11.0,11.0,11.0,11.0,11.0,11
fex_dpto,float64,32177,32177,100.0,3536,253.72670955444354,64.26739623515978,106.612617426093,215.43150019595,242.396357552795,276.820780750405,808.241451693803,232.460305636127
fweight,int64,32177,32177,100.0,409,253.72685458557353,64.26377473017463,107.0,215.0,242.0,277.0,808.0,243
maxEducLevel,float64,32177,28608,88.90822637287503,7,5.5490072706935125,1.5406006191235457,1.0,5.0,6.0,7.0,7.0,7.0
college,int64,32177,32177,100.0,2,0.24321720483575224,0.42903183634906455,0.0,0.0,0.0,0.0,1.0,0
regSalud,float64,32177,24670,76.6696708829288,3,1.4062829347385488,0.7818740406802779,1.0,1.0,1.0,1.0,3.0,1.0
cotPension,float64,32177,16663,51.78543680268515,3,1.4585608833943469,0.5421351052378738,1.0,1.0,1.0,2.0,3.0,1.0
wap,int64,32177,32177,100.0,2,0.848090250800261,0.358938965999125,0.0,1.0,1.0,1.0,1.0,1
ocu,int64,32177,32177,100.0,2,0.518444851912857,0.499667436031917,0.0,0.0,1.0,1.0,1.0,1
dsi,int64,32177,32177,100.0,2,0.06137924604531187,0.2400283831595109,0.0,0.0,0.0,0.0,1.0,0
pea,int64,32177,32177,100.0,2,0.5798240979581689,0.4935946566963331,0.0,0.0,1.0,1.0,1.0,1
inac,int64,32177,32177,100.0,2,0.26826615284209215,0.44306379324425027,0.0,0.0,0.0,1.0,1.0,0
totalHoursWorked,float64,32177,16682,51.844485191285706,112,47.24175758302362,15.806409297676,1.0,40.0,48.0,50.0,130.0,48.0
formal,float64,32177,16682,51.844485191285706,2,0.5820045558086561,0.4932441959106847,0.0,0.0,1.0,1.0,1.0,1.0
informal,float64,32177,16682,51.844485191285706,2,0.417995444191344,0.49324419591068464,0.0,0.0,0.0,1.0,1.0,0.0
cuentaPropia,int64,32177,32177,100.0,2,0.15992789880970879,0.36654486968779726,0.0,0.0,0.0,0.0,1.0,0
microEmpresa,float64,32177,16682,51.844485191285706,2,0.45012588418654836,0.49752126644547184,0.0,0.0,0.0,1.0,1.0,0.0
sizeFirm,float64,32177,16682,51.844485191285706,5,3.1436278623666225,1.647306391272731,1.0,2.0,3.0,5.0,5.0,5.0
y_salary_m,float64,32177,9964,30.96621810610063,660,1547710.2868325973,2143416.2283503623,10000.0,781242.0,900000.0,1500000.0,34000000.0,781242.0
