variable,media,desv_est,minimo,p25,mediana,p75,maximo,moda
fex_c,253.72670955444354,64.26739623515978,106.612617426093,215.43150019595,242.396357552795,276.820780750405,808.241451693803,232.460305636127
depto,11.0,0.0,11.0,11.0,11.0,11.0,11.0,11
fex_dpto,253.72670955444354,64.26739623515978,106.612617426093,215.43150019595,242.396357552795,276.820780750405,808.241451693803,232.460305636127
fweight,253.72685458557353,64.26377473017463,107.0,215.0,242.0,277.0,808.0,243
maxEducLevel,5.5490072706935125,1.5406006191235457,1.0,5.0,6.0,7.0,7.0,7.0
college,0.24321720483575224,0.42903183634906455,0.0,0.0,0.0,0.0,1.0,0
regSalud,1.4062829347385488,0.7818740406802779,1.0,1.0,1.0,1.0,3.0,1.0
cotPension,1.4585608833943469,0.5421351052378738,1.0,1.0,1.0,2.0,3.0,1.0
wap,0.848090250800261,0.358938965999125,0.0,1.0,1.0,1.0,1.0,1
ocu,0.518444851912857,0.499667436031917,0.0,0.0,1.0,1.0,1.0,1
dsi,0.06137924604531187,0.2400283831595109,0.0,0.0,0.0,0.0,1.0,0
pea,0.5798240979581689,0.4935946566963331,0.0,0.0,1.0,1.0,1.0,1
inac,0.26826615284209215,0.44306379324425027,0.0,0.0,0.0,1.0,1.0,0
totalHoursWorked,47.24175758302362,15.806409297676,1.0,40.0,48.0,50.0,130.0,48.0
formal,0.5820045558086561,0.4932441959106847,0.0,0.0,1.0,1.0,1.0,1.0
informal,0.417995444191344,0.49324419591068464,0.0,0.0,0.0,1.0,1.0,0.0
cuentaPropia,0.15992789880970879,0.36654486968779726,0.0,0.0,0.0,0.0,1.0,0
microEmpresa,0.45012588418654836,0.49752126644547184,0.0,0.0,0.0,1.0,1.0,0.0
sizeFirm,3.1436278623666225,1.647306391272731,1.0,2.0,3.0,5.0,5.0,5.0
y_salary_m,1547710.2868325973,2143416.2283503623,10000.0,781242.0,900000.0,1500000.0,34000000.0,781242.0
y_salary_m_hu,7908.648703242056,11574.007170734565,48.6111106872559,3797.7041015625,4444.4443359375,7291.66650390625,291666.65625,3797.7041015625
y_ingLab_m,1735661.1424107256,2397597.8829532387,10000.0,869453.0,1026387.6875,1617052.71875,60100000.0,869453.0
y_horasExtras_m,104597.6,171364.82768011454,0.0,0.0,50000.0,150000.0,2000000.0,0.0
y_especie_m,165707.34740015073,142221.1153688485,0.0,51000.0,150000.0,240000.0,1000000.0,0.0
y_vivienda_m,340336.53846153844,758974.8657283185,0.0,0.0,200000.0,350000.0,6000000.0,0.0
y_otros_m,276812.9770992366,466879.7462363131,0.0,80000.0,145000.0,300000.0,4500000.0,100000.0
y_auxilioAliment_m,118498.64864864865,167173.54569654723,0.0,0.0,70000.0,180000.0,1428000.0,0.0
